,num,location,coordinate,post,code
1,5,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
2,18,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
3,24,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
4,41,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
5,46,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
6,151,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
7,320,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
8,379,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
9,386,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
10,388,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
11,443,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
12,480,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
13,495,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
14,540,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
15,661,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
16,673,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
17,739,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
18,785,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
19,788,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
20,815,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
21,823,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
22,833,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
23,853,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
24,882,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
25,975,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
26,1006,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
27,1011,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
28,1079,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
29,1131,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
30,1253,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
31,1256,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
32,1310,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
33,1329,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
34,1367,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
35,1503,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
36,1524,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
37,1555,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
38,1585,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
39,1587,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
40,1635,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
41,1642,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
42,1676,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
43,1755,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
44,1787,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
45,1828,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
46,1878,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
47,1976,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
48,1994,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
49,2016,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
50,2049,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
51,2064,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
52,2086,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
53,2155,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
54,2165,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
55,2182,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
56,2202,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
57,2243,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
58,2247,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
59,2299,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
60,2311,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
61,2344,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
62,2345,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
63,2419,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
64,2424,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
65,2523,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
66,2530,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
67,2542,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
68,2581,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
69,2593,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
70,2616,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
71,2646,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
72,2675,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
73,2708,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
74,2709,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
75,2742,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
76,2898,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
77,2952,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
78,2958,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
79,2967,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
80,3040,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
81,3079,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
82,3256,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
83,3263,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
84,3269,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
85,3320,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
86,3338,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
87,3535,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",1052,CH
